3	3	Иванов	Петр	Михайлович	25.12.1984	01.01.1998	99996667	1	6666699998	1	0
4	4	Петров	Николай	Петрович	26.12.1984	01.01.1998	99996668	1	6666699999	1	0
5	5	Сидоров	Евгений	Валерьевич	27.12.1984	01.01.1998	99996669	1	66666100000	2	0
6	6	Соколов	Михаил	Андреевич	28.12.1984	01.01.1998	99996670	1	66666100001	2	0
7	7	Михалов	Вадим	Сергеевич	29.12.1984	01.01.1998	99996671	1	66666100002	2	0
8	8	Никифорорв	Сергей	Николаевич	30.12.1984	01.01.1998	99996672	1	66666100003	2	0
9	9	Неретин	Алексей	Александрович	31.12.1984	01.01.1998	99996673	1	66666100004	2	0
10	10	Попов	Александр	Алексеевич	01.01.1985	01.01.1998	99996674	1	66666100005	2	0
11	11	Скворцов	Дмитрий	Дмитриевич	02.01.1985	01.01.1998	99996675	1	66666100006	2	0
12	12	Зайцев	Петр	Михайлович	03.01.1985	01.01.1998	99996676	2	66666100007	2	0
13	13	Иванов	Николай	Петрович	04.01.1985	01.01.1998	99996677	2	66666100008	2	0
14	14	Петров	Евгений	Валерьевич	05.01.1985	01.01.1998	99996678	2	66666100009	2	0
15	15	Сидоров	Михаил	Андреевич	24.12.1984	01.01.1998	99996679	2	66666100010	2	0
16	16	Соколов	Вадим	Сергеевич	25.12.1984	01.01.1998	99996680	2	66666100011	2	0
17	17	Михалов	Сергей	Николаевич	26.12.1984	01.01.1998	99996681	2	66666100012	2	0
18	18	Никифорорв	Алексей	Александрович	27.12.1984	01.01.1998	99996682	2	66666100013	2	0
19	19	Неретин	Александр	Алексеевич	28.12.1984	01.01.1998	99996683	2	66666100014	2	0
20	20	Попов	Дмитрий	Дмитриевич	29.12.1984	01.01.1998	99996684	2	66666100015	2	0
21	21	Скворцов	Вадим	Михайлович	30.12.1984	02.01.1998	99996685	2	66666100016	2	0
22	22	Зайцев	Сергей	Петрович	31.12.1984	03.01.1998	99996686	3	66666100017	3	0
23	23	Иванов	Алексей	Валерьевич	01.01.1985	04.01.1998	99996687	3	66666100018	3	0
24	24	Петров	Александр	Андреевич	02.01.1985	05.01.1998	99996688	3	66666100019	3	0
25	25	Сидоров	Дмитрий	Сергеевич	27.12.1984	06.01.1998	99996689	3	66666100020	3	0
26	26	Соколов	Петр	Николаевич	28.12.1984	07.01.1998	99996690	3	66666100021	3	0
27	27	Михалов	Николай	Александрович	29.12.1984	08.01.1998	99996691	3	66666100022	3	0
28	28	Никифорорв	Евгений	Алексеевич	30.12.1984	09.01.1998	99996692	3	66666100023	3	0
29	29	Неретин	Михаил	Дмитриевич	31.12.1984	10.01.1998	99996693	3	66666100024	3	0
30	30	Попов	Вадим	Михайлович	01.01.1985	11.01.1998	99996694	3	66666100025	3	0
31	31	Скворцов	Сергей	Петрович	02.01.1985	12.01.1998	99996695	3	66666100026	3	0
32	32	Зайцев	Вадим	Валерьевич	03.01.1985	13.01.1998	99996696	4	66666100027	3	0
33	33	Иванов	Сергей	Андреевич	04.01.1985	14.01.1998	99996697	4	66666100028	3	0
34	34	Петров	Алексей	Сергеевич	05.01.1985	15.01.1998	99996698	4	66666100029	3	0
35	35	Сидоров	Александр	Николаевич	24.12.1984	16.01.1998	99996699	4	66666100030	3	0
36	36	Соколов	Дмитрий	Александрович	25.12.1984	17.01.1998	99996700	4	66666100031	3	0
37	37	Михалов	Вадим	Алексеевич	26.12.1984	18.01.1998	99996701	4	66666100032	3	0
38	38	Никифорорв	Сергей	Валерьевич	27.12.1984	19.01.1998	99996702	4	66666100033	3	0
39	39	Неретин	Алексей	Андреевич	28.12.1984	20.01.1998	99996703	4	66666100034	3	0
40	40	Попов	Александр	Сергеевич	29.12.1984	21.01.1998	99996704	4	66666100035	3	0
